工程名称(编号):  中新科技城241A地块       (2009-K-255)
建设单位:        
孔号,深度,I,II,III,IV,V,VI
J11,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J11,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J11,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J11,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J11,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J11,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J11,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J110,0~10m,3.00,7.00,0.00,0.00,0.00,0.00
J110,10~20m,1.20,8.80,0.00,0.00,0.00,0.00
J110,20~30m,2.00,8.00,0.00,0.00,0.00,0.00
J110,30~40m,5.60,4.40,0.00,0.00,0.00,0.00
J110,40~50m,5.00,5.00,0.00,0.00,0.00,0.00
J110,50~60m,4.50,5.50,0.00,0.00,0.00,0.00
J110,60~80m,4.60,10.85,0.00,0.00,0.00,0.00
J110,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J110,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J110,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J110,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J112,0~10m,2.60,7.40,0.00,0.00,0.00,0.00
J112,10~20m,1.60,8.40,0.00,0.00,0.00,0.00
J112,20~30m,2.00,8.00,0.00,0.00,0.00,0.00
J112,30~40m,5.70,4.30,0.00,0.00,0.00,0.00
J112,40~50m,5.00,5.00,0.00,0.00,0.00,0.00
J112,50~60m,6.50,3.50,0.00,0.00,0.00,0.00
J112,60~80m,5.40,10.05,0.00,0.00,0.00,0.00
J112,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J112,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J112,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J112,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J113,0~10m,2.00,8.00,0.00,0.00,0.00,0.00
J113,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J113,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J113,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J113,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J113,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J113,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J113,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J113,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J113,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J113,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J114,0~10m,2.30,7.70,0.00,0.00,0.00,0.00
J114,10~20m,0.00,1.30,0.00,0.00,0.00,0.00
J114,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J114,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J114,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J114,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J114,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J114,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J114,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J114,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J114,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J115,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J115,10~20m,0.00,1.30,0.00,0.00,0.00,0.00
J115,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J115,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J115,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J115,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J115,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J115,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J115,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J115,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J115,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J116,0~10m,1.80,8.20,0.00,0.00,0.00,0.00
J116,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J116,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J116,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J116,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J116,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J116,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J116,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J116,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J116,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J116,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J117,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J117,10~20m,1.70,8.30,0.00,0.00,0.00,0.00
J117,20~30m,2.00,8.00,0.00,0.00,0.00,0.00
J117,30~40m,0.00,0.30,0.00,0.00,0.00,0.00
J117,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J117,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J117,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J117,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J117,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J117,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J117,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J118,0~10m,2.90,7.10,0.00,0.00,0.00,0.00
J118,10~20m,2.00,8.00,0.00,0.00,0.00,0.00
J118,20~30m,2.30,7.00,0.00,0.00,0.00,0.00
J118,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J118,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J118,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J118,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J118,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J118,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J118,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J118,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J119,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J119,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J119,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J119,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J119,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J119,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J119,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J119,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J119,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J119,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J119,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J12,0~10m,2.70,7.30,0.00,0.00,0.00,0.00
J12,10~20m,0.70,8.60,0.00,0.00,0.00,0.00
J12,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J12,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J12,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J12,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J12,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J12,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J12,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J12,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J12,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J120,0~10m,2.40,7.60,0.00,0.00,0.00,0.00
J120,10~20m,0.00,1.30,0.00,0.00,0.00,0.00
J120,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J120,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J120,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J120,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J120,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J120,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J120,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J120,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J120,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J121,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J121,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J121,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J121,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J121,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J121,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J121,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J121,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J121,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J121,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J121,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J122,0~10m,2.30,7.70,0.00,0.00,0.00,0.00
J122,10~20m,0.00,1.30,0.00,0.00,0.00,0.00
J122,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J122,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J122,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J122,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J122,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J122,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J122,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J122,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J122,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J123,0~10m,2.70,7.30,0.00,0.00,0.00,0.00
J123,10~20m,0.00,0.30,0.00,0.00,0.00,0.00
J123,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J123,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J123,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J123,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J123,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J123,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J123,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J123,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J123,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J124,0~10m,2.20,7.80,0.00,0.00,0.00,0.00
J124,10~20m,1.70,8.30,0.00,0.00,0.00,0.00
J124,20~30m,2.40,7.60,0.00,0.00,0.00,0.00
J124,30~40m,0.00,0.30,0.00,0.00,0.00,0.00
J124,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J124,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J124,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J124,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J124,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J124,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J124,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J125,0~10m,2.80,7.20,0.00,0.00,0.00,0.00
J125,10~20m,1.50,8.50,0.00,0.00,0.00,0.00
J125,20~30m,2.20,7.80,0.00,0.00,0.00,0.00
J125,30~40m,5.60,4.40,0.00,0.00,0.00,0.00
J125,40~50m,6.40,3.60,0.00,0.00,0.00,0.00
J125,50~60m,4.70,5.30,0.00,0.00,0.00,0.00
J125,60~80m,5.00,10.30,0.00,0.00,0.00,0.00
J125,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J125,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J125,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J125,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J126,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J126,10~20m,1.60,8.40,0.00,0.00,0.00,0.00
J126,20~30m,2.30,7.70,0.00,0.00,0.00,0.00
J126,30~40m,5.40,4.60,0.00,0.00,0.00,0.00
J126,40~50m,5.50,4.50,0.00,0.00,0.00,0.00
J126,50~60m,6.50,3.50,0.00,0.00,0.00,0.00
J126,60~80m,5.40,9.90,0.00,0.00,0.00,0.00
J126,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J126,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J126,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J126,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J13,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J13,10~20m,0.80,8.50,0.00,0.00,0.00,0.00
J13,20~30m,0.00,0.00,0.00,0.00,0.00,0.00
J13,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J13,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J13,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J13,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J13,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J13,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J13,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J13,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J14,0~10m,2.50,7.50,0.00,0.00,0.00,0.00
J14,10~20m,1.50,8.50,0.00,0.00,0.00,0.00
J14,20~30m,1.80,8.20,0.00,0.00,0.00,0.00
J14,30~40m,0.00,0.30,0.00,0.00,0.00,0.00
J14,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J14,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J14,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J14,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J14,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J14,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J14,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
J15,0~10m,2.30,7.70,0.00,0.00,0.00,0.00
J15,10~20m,1.30,8.70,0.00,0.00,0.00,0.00
J15,20~30m,2.00,7.30,0.00,0.00,0.00,0.00
J15,30~40m,0.00,0.00,0.00,0.00,0.00,0.00
J15,40~50m,0.00,0.00,0.00,0.00,0.00,0.00
J15,50~60m,0.00,0.00,0.00,0.00,0.00,0.00
J15,60~80m,0.00,0.00,0.00,0.00,0.00,0.00
J15,80~100m,0.00,0.00,0.00,0.00,0.00,0.00
J15,100~120m,0.00,0.00,0.00,0.00,0.00,0.00
J15,120~140m,0.00,0.00,0.00,0.00,0.00,0.00
J15,140~160m,0.00,0.00,0.00,0.00,0.00,0.00
